Time,HeadingRadian,HeadingDegree,Mx,My,Mz
1006,4.05,232.27,-168,-130,283
1007,4.02,230.58,-163,-134,283
1008,3.96,226.91,-155,-145,281
1009,3.95,226.42,-145,-138,287
1010,3.94,225.63,-138,-135,283
1011,3.95,226.07,-136,-131,285
1012,3.97,227.19,-136,-126,287
1013,3.97,227.19,-136,-126,286
1014,3.98,228.19,-142,-127,294
1015,4.02,230.23,-143,-119,288
1016,3.98,228.24,-140,-125,290
1017,3.95,226.5,-137,-130,285
1018,3.98,227.77,-130,-118,287
1019,4.03,231.12,-124,-100,278
1020,4.04,231.4,-119,-95,276
1021,4.12,235.99,-123,-83,277
1022,4.17,239.1,-137,-82,283
1023,4.24,242.8,-144,-74,281
1024,4.25,243.28,-149,-75,279
1025,4.26,244.01,-160,-78,282
1026,4.28,244.96,-167,-78,281
1027,4.28,245,-178,-83,283
1028,4.26,244.35,-177,-85,285
1029,4.28,245.46,-173,-79,280
1030,4.27,244.82,-168,-79,283
1031,4.24,243,-157,-80,286
1032,4.27,244.85,-164,-77,271
1033,4.29,245.64,-159,-72,275
1034,4.28,245.4,-166,-76,274
1035,4.23,242.63,-170,-88,280
1036,4.18,239.34,-167,-99,285
1037,4.16,238.18,-166,-103,283
1038,4.16,238.54,-170,-104,271
1039,4.11,235.61,-168,-115,271
1040,4.1,235.08,-169,-118,273
1041,4.12,236.01,-175,-118,283
1042,4.15,238.02,-181,-113,287
1043,4.19,240.32,-186,-106,280
1044,4.23,242.13,-191,-101,277
1045,4.21,241.1,-192,-106,277
1046,4.17,238.86,-192,-116,277
1047,4.15,237.94,-190,-119,282
1048,4.14,237.03,-185,-120,283
1049,4.13,236.6,-182,-120,287
1050,4.14,237.12,-181,-117,290
1051,4.14,237.25,-185,-119,288
1052,4.17,238.76,-183,-111,289
1053,4.13,236.78,-171,-112,292
1054,4.16,238.31,-183,-113,296
1055,4.16,238.5,-186,-114,294
1056,4.2,240.92,-187,-104,296
1057,4.23,242.37,-191,-100,284
1058,4.24,242.69,-184,-95,287
1059,4.18,239.24,-168,-100,283
1060,4.17,239.14,-169,-101,284
1061,4.16,238.45,-171,-105,287
1062,4.15,238.03,-165,-103,278
1063,4.13,236.65,-158,-104,278
1064,4.16,238.09,-159,-99,285
1065,4.13,236.39,-158,-105,282
1066,4.12,236.15,-167,-112,284
1067,4.13,236.89,-161,-105,279
1068,4.15,238.02,-173,-108,288
1069,4.17,238.74,-173,-105,278
1070,4.16,238.56,-175,-107,276
1071,4.22,241.59,-183,-99,277
1072,4.19,240.26,-182,-104,278
1073,4.18,239.6,-179,-105,282
1074,4.2,240.81,-179,-100,282
1075,4.19,239.98,-180,-104,284
1076,4.21,240.97,-182,-101,280
1077,4.18,239.65,-181,-106,281
1078,4.19,239.98,-180,-104,282
1079,4.2,240.6,-181,-102,283
1080,4.21,241.08,-181,-100,280
1081,4.19,240.26,-182,-104,280
1082,4.19,240.32,-179,-102,281
1083,4.2,240.36,-181,-103,280
1084,4.18,239.78,-182,-106,281
1085,4.19,240.22,-180,-103,280
1086,4.19,240.12,-181,-104,279
1087,4.19,240.32,-179,-102,281
1088,4.19,239.98,-180,-104,280
1089,4.19,239.96,-185,-107,277
1090,4.22,241.61,-185,-100,276
1091,4.2,240.46,-180,-102,280
1092,4.2,240.63,-183,-103,281
1093,4.2,240.36,-181,-103,283
1094,4.19,240.02,-182,-105,282
1095,4.2,240.36,-181,-103,279
1096,4.2,240.6,-181,-102,280
1097,4.2,240.63,-183,-103,279
1098,4.2,240.6,-181,-102,281
1099,4.18,239.7,-178,-104,281
1100,4.2,240.36,-181,-103,280
1101,4.2,240.49,-182,-103,281
1102,4.19,239.88,-181,-105,281
1103,4.2,240.6,-181,-102,281
1104,4.2,240.36,-181,-103,280
1105,4.21,241.11,-183,-101,279
1106,4.2,240.49,-182,-103,279
1107,4.19,240.12,-181,-104,284
1108,4.19,240.12,-181,-104,281
1109,4.2,240.36,-181,-103,280
