Time,,,,,,Lidar1,Lidar2
289,,,,,,80,100
290,,,,,,81,105
291,,,,,,81,106
292,,,,,,81,114
293,,,,,,84,119
294,,,,,,79,126
295,,,,,,80,130
296,,,,,,81,130
297,,,,,,81,126
298,,,,,,82,128
299,,,,,,80,130
300,,,,,,80,126
301,,,,,,82,129
302,,,,,,81,127
303,,,,,,79,124
304,,,,,,82,118
305,,,,,,81,111
306,,,,,,82,107
307,,,,,,82,101
308,,,,,,83,99
309,,,,,,81,91
310,,,,,,81,88
311,,,,,,82,86
312,,,,,,80,81
313,,,,,,85,76
314,,,,,,79,72
315,,,,,,80,70
316,,,,,,83,67
317,,,,,,81,66
318,,,,,,83,67
319,,,,,,83,65
320,,,,,,82,58
321,,,,,,83,53
322,,,,,,82,57
323,,,,,,82,60
324,,,,,,81,55
325,,,,,,85,56
326,,,,,,82,52
327,,,,,,79,62
328,,,,,,81,68
329,,,,,,81,74
330,,,,,,81,79
331,,,,,,82,85
332,,,,,,83,89
333,,,,,,81,93
334,,,,,,83,98
335,,,,,,81,103
336,,,,,,81,105
337,,,,,,80,112
338,,,,,,81,117
339,,,,,,83,117
340,,,,,,81,122
341,,,,,,82,132
342,,,,,,81,131
343,,,,,,82,134
344,,,,,,81,137
345,,,,,,81,137
346,,,,,,84,136
347,,,,,,84,136
348,,,,,,80,133
349,,,,,,81,129
350,,,,,,81,117
351,,,,,,84,109
352,,,,,,82,99
353,,,,,,83,89
354,,,,,,83,85
355,,,,,,80,80
356,,,,,,82,76
357,,,,,,79,72
358,,,,,,82,73
359,,,,,,80,67
360,,,,,,83,68
361,,,,,,81,61
362,,,,,,79,55
363,,,,,,85,53
364,,,,,,81,46
365,,,,,,86,66
366,,,,,,79,58
367,,,,,,81,82
368,,,,,,83,61
369,,,,,,79,71
370,,,,,,83,73
371,,,,,,83,82
372,,,,,,81,90
373,,,,,,83,98
374,,,,,,80,106
375,,,,,,82,114
376,,,,,,82,127
377,,,,,,83,135
378,,,,,,80,142
379,,,,,,83,138
380,,,,,,82,139
381,,,,,,81,138
382,,,,,,85,141
